iter	Passed	Remaining
0	147	147554
1	150	74995
2	152	50843
3	155	38824
4	158	31568
5	161	26741
6	165	23428
7	168	20907
8	172	18953
9	174	17306
10	177	15947
11	179	14803
12	182	13832
13	186	13108
14	188	12391
15	191	11747
16	193	11175
17	195	10665
18	197	10198
19	200	9821
20	202	9456
21	204	9094
22	206	8760
23	207	8452
24	209	8166
25	210	7899
26	212	7664
27	215	7467
28	216	7257
29	218	7062
30	219	6872
31	221	6693
32	222	6528
33	224	6374
34	225	6227
35	228	6106
36	230	5988
37	231	5867
38	233	5748
39	234	5636
40	236	5531
41	238	5432
42	239	5335
43	241	5242
44	243	5164
45	245	5086
46	246	5004
47	248	4931
48	250	4862
49	252	4797
50	254	4730
51	256	4668
52	258	4618
53	260	4562
54	262	4503
55	263	4444
56	265	4387
57	266	4332
58	268	4279
59	269	4227
60	271	4179
61	274	4146
62	276	4106
63	278	4067
64	279	4024
65	281	3983
66	283	3943
67	284	3905
68	286	3869
69	289	3842
70	291	3808
71	292	3774
72	294	3741
73	296	3710
74	298	3677
75	300	3647
76	301	3617
77	304	3596
78	306	3570
79	308	3545
80	310	3518
81	311	3490
82	312	3455
83	314	3434
84	316	3410
85	319	3391
86	321	3368
87	322	3345
88	324	3323
89	326	3299
90	328	3276
91	329	3256
92	331	3237
93	334	3226
94	336	3206
95	338	3186
96	340	3167
97	341	3146
98	343	3127
99	345	3105
100	347	3093
101	349	3078
102	351	3062
103	353	3047
104	355	3030
105	357	3013
106	358	2995
107	360	2981
108	363	2971
109	366	2966
110	368	2952
111	370	2938
112	372	2922
113	374	2907
114	376	2895
115	379	2889
116	381	2877
117	383	2865
118	385	2853
119	387	2840
120	389	2829
121	391	2815
122	404	2882
123	409	2893
124	412	2887
125	414	2875
126	416	2862
127	418	2851
128	424	2863
129	427	2858
130	429	2847
131	431	2835
132	433	2826
133	435	2816
134	439	2816
135	442	2808
136	444	2799
137	446	2787
138	448	2777
139	451	2775
140	454	2771
141	456	2760
142	461	2763
143	463	2752
144	464	2740
145	466	2731
146	469	2722
147	471	2715
148	473	2706
149	475	2695
150	477	2684
151	479	2673
152	488	2706
153	490	2695
154	492	2683
155	493	2672
156	498	2675
157	500	2667
158	502	2660
159	504	2649
160	505	2636
161	507	2625
